Cell-Center Velocity Error Report
Input NetCDF: fno_predictions_30cases_20steps.nc
Trajectories: 30   Steps: 400
Reference variables: gt_u, gt_v
CC grid: 64 x 64

Metrics:
  RelL2 = sqrt(sum(du^2)+sum(dv^2)) / sqrt(sum(u_ref^2)+sum(v_ref^2))
  MaxErr = max sqrt(du^2 + dv^2)


============================================================
  Method: FNO
============================================================
Step    RelL2_mean    RelL2_std     MaxErr_mean   MaxErr_std    
270     6.7279e-03    3.4817e-03    3.0498e-03    1.3762e-03    
271     6.7113e-03    3.4952e-03    3.0127e-03    1.4194e-03    
272     6.7282e-03    3.6072e-03    2.9958e-03    1.4436e-03    
273     6.7572e-03    3.7546e-03    3.0037e-03    1.4177e-03    
274     6.7545e-03    3.9156e-03    2.9815e-03    1.4780e-03    
275     6.7630e-03    4.0095e-03    2.9501e-03    1.5770e-03    
276     6.7640e-03    3.9620e-03    3.0037e-03    1.6007e-03    
277     6.6987e-03    3.8574e-03    2.9975e-03    1.6482e-03    
278     6.6281e-03    3.7865e-03    3.0468e-03    1.7189e-03    
279     6.6188e-03    3.7706e-03    3.0825e-03    1.7539e-03    
280     6.6492e-03    3.8486e-03    3.0437e-03    1.7786e-03    
281     6.7235e-03    3.9330e-03    3.0728e-03    1.8251e-03    
282     6.7761e-03    4.0118e-03    3.0389e-03    1.8381e-03    
283     6.7732e-03    4.0513e-03    3.0885e-03    1.8704e-03    
284     6.7314e-03    4.0792e-03    3.0750e-03    1.9600e-03    
285     6.7080e-03    4.0700e-03    3.1381e-03    1.9711e-03    
286     6.6953e-03    4.0218e-03    3.1327e-03    1.9316e-03    
287     6.6605e-03    3.9860e-03    3.1181e-03    1.8939e-03    
288     6.6578e-03    3.9487e-03    3.1363e-03    1.8922e-03    
289     6.6464e-03    3.8606e-03    3.0817e-03    1.8268e-03    
290     6.5522e-03    3.7280e-03    3.0628e-03    1.7759e-03    
291     6.4731e-03    3.6533e-03    2.9850e-03    1.7445e-03    
292     6.4946e-03    3.6236e-03    2.9734e-03    1.6820e-03    
293     6.5543e-03    3.6533e-03    2.9878e-03    1.6002e-03    
294     6.5846e-03    3.7122e-03    2.9533e-03    1.5916e-03    
295     6.5956e-03    3.7640e-03    2.9420e-03    1.5663e-03    
296     6.5864e-03    3.7611e-03    3.0155e-03    1.5421e-03    
297     6.4967e-03    3.7092e-03    3.0124e-03    1.5554e-03    
298     6.3920e-03    3.6602e-03    2.9306e-03    1.5846e-03    
299     6.3673e-03    3.6280e-03    2.9217e-03    1.6093e-03    
300     6.3642e-03    3.6235e-03    2.9112e-03    1.6522e-03    
301     6.3965e-03    3.6240e-03    2.9215e-03    1.6935e-03    
302     6.4363e-03    3.6042e-03    2.9404e-03    1.7085e-03    
303     6.4077e-03    3.6097e-03    2.9113e-03    1.7273e-03    
304     6.3597e-03    3.6455e-03    2.9178e-03    1.7154e-03    
305     6.3761e-03    3.7317e-03    2.9732e-03    1.6933e-03    
306     6.3687e-03    3.8574e-03    2.9635e-03    1.7597e-03    
307     6.3682e-03    3.9450e-03    2.9191e-03    1.8151e-03    
308     6.3896e-03    3.9446e-03    2.9462e-03    1.8181e-03    
309     6.3374e-03    3.8741e-03    2.9544e-03    1.7856e-03    
310     6.2124e-03    3.7852e-03    2.8422e-03    1.8555e-03    
311     6.1374e-03    3.7193e-03    2.8719e-03    1.8386e-03    
312     6.1022e-03    3.7242e-03    2.9174e-03    1.7814e-03    
313     6.0764e-03    3.8078e-03    2.7683e-03    1.8066e-03    
314     6.0909e-03    3.9083e-03    2.7475e-03    1.7768e-03    
315     6.1456e-03    3.9763e-03    2.8945e-03    1.7469e-03    
316     6.1715e-03    4.0332e-03    2.9444e-03    1.7064e-03    
317     6.1754e-03    4.0579e-03    2.8912e-03    1.6609e-03    
318     6.2264e-03    4.0510e-03    2.8609e-03    1.6216e-03    
319     6.2684e-03    4.0720e-03    2.8310e-03    1.6361e-03    
320     6.2745e-03    4.1004e-03    2.7542e-03    1.6753e-03    
321     6.2773e-03    4.0512e-03    2.8192e-03    1.7363e-03    
322     6.2465e-03    3.9649e-03    2.8645e-03    1.6812e-03    
323     6.1634e-03    3.9115e-03    3.0164e-03    1.7872e-03    
324     6.1317e-03    3.9173e-03    2.8313e-03    1.6672e-03    
325     6.1786e-03    3.9847e-03    2.9397e-03    1.6632e-03    
326     6.1926e-03    4.1247e-03    2.9105e-03    1.6478e-03    
327     6.2376e-03    4.2313e-03    2.9361e-03    1.7500e-03    
328     6.2497e-03    4.2323e-03    2.9335e-03    1.7403e-03    
329     6.1511e-03    4.1475e-03    2.8263e-03    1.7245e-03    
330     6.0183e-03    3.9433e-03    2.7414e-03    1.6579e-03    
331     5.9358e-03    3.8235e-03    2.7606e-03    1.6764e-03    
332     5.8868e-03    3.8690e-03    2.7699e-03    1.6687e-03    
333     5.9095e-03    4.0166e-03    2.8153e-03    1.6487e-03    
334     5.9714e-03    4.1735e-03    2.8062e-03    1.5855e-03    
335     5.9944e-03    4.3171e-03    2.7933e-03    1.5834e-03    
336     5.9839e-03    4.4067e-03    2.7180e-03    1.6239e-03    
337     5.9886e-03    4.2901e-03    2.7638e-03    1.6791e-03    
338     5.9415e-03    4.1072e-03    2.7968e-03    1.7113e-03    
339     5.8773e-03    4.0178e-03    2.7780e-03    1.7854e-03    
340     5.9145e-03    4.0536e-03    2.7875e-03    1.8388e-03    
341     6.0240e-03    4.1278e-03    2.8103e-03    1.8746e-03    
342     6.1120e-03    4.2260e-03    2.8449e-03    1.8710e-03    
343     6.1897e-03    4.2908e-03    2.8058e-03    1.8999e-03    
344     6.2910e-03    4.2611e-03    2.8911e-03    1.9051e-03    
345     6.3417e-03    4.2115e-03    2.8336e-03    1.9089e-03    
