Method,Seed,HCT_0.95,HCT_0.80,HCT_0.95_steps,HCT_0.80_steps
pure_unet_fno,2,5.399612373357457,6.802109093710043,77.0,97.0
pure_unet_fno,3,5.469737209375087,7.222858109815819,78.00000000000001,103.0
pure_unet_fno,4,4.487989505128276,6.451484913621897,64.0,92.0
pure_unet_fno,5,5.539862045392716,7.363107781851077,79.0,105.0
pure_unet_fno,6,6.030735897516121,7.012483601762931,86.0,100.0
pure_unet_fno,7,5.469737209375087,7.924106469992112,78.00000000000001,113.0
pure_unet_fno,8,5.329487537339828,6.872233929727672,76.0,98.0
pure_unet_fno,9,3.856865980969612,5.189237865304569,55.0,74.0
pure_unet_fno,10,4.838613685216423,6.731984257692414,69.0,96.0
pure_unet_fno,11,4.417864669110647,5.259362701322198,63.0,75.0
pure_unet_fno,12,4.558114341145905,6.170985569551379,65.0,88.0
pure_unet_fno,13,5.680111717427974,7.15273327379819,81.0,102.0
pure_unet_fno,14,5.11911302928694,6.731984257692414,73.0,96.0
pure_unet_fno,15,4.908738521234052,6.521609749639526,70.0,93.0
pure_unet_fno,16,3.9269908169872414,5.890486225480862,56.0,84.0
pure_unet_fno,17,4.768488849198793,5.680111717427974,68.0,81.0
pure_unet_fno,18,5.820361389463232,7.012483601762931,82.99999999999999,100.0
pure_unet_fno,19,3.716616308934354,5.04898819326931,53.00000000000001,72.0
pure_unet_fno,20,4.768488849198793,5.539862045392716,68.0,79.0
pure_unet_fno,21,3.436116964863836,4.978863357251681,49.0,71.0
pure_unet_fno,22,4.0672404890225,5.329487537339828,58.0,76.0
pure_unet_fno,23,4.3477398330930175,6.170985569551379,62.0,88.0
pure_unet_fno,24,5.399612373357457,6.872233929727672,77.0,98.0
pure_unet_fno,25,4.768488849198793,6.030735897516121,68.0,86.0
pure_unet_fno,26,5.11911302928694,6.521609749639526,73.0,93.0
pure_unet_fno,27,6.311235241586638,7.994231306009741,90.0,114.0
pure_unet_fno,28,4.838613685216423,6.2411104055690085,69.0,89.0
pure_unet_fno,29,4.628239177163534,6.311235241586638,66.0,90.0
pure_unet_fno,30,5.329487537339828,7.433232617868707,76.0,106.0
pure_unet_fno,31,5.11911302928694,7.503357453886336,73.0,107.0
pure_fno,0,0.3506241800881465,1.5427463923878448,4.999999999999999,22.0
pure_fno,1,0.4908738521234052,3.0153679487580605,7.0,43.0
pure_fno,2,0.4207490161057758,2.945243112740431,5.999999999999999,42.0
pure_fno,3,0.4207490161057758,2.3842444245993963,5.999999999999999,34.0
pure_fno,4,0.3506241800881465,2.945243112740431,4.999999999999999,42.0
pure_fno,5,0.6311235241586638,2.8751182767228016,9.0,41.0
pure_fno,6,0.4908738521234052,2.8751182767228016,7.0,41.0
